HCHO reading,Location,Current Date,Next Date,STATION,LATITUDE,LONGITUDE,ELEVATION,PRCP,TAVG,TMAX,TMIN
0.0001293113208020658,Kurunegala Proper,2021-01-27,2021-01-28,CEM00043441,7.467,80.367,116.0,0.0,79,88,69
0.00011030752448996,Kurunegala Proper,2023-06-22,2023-06-23,CEM00043441,7.467,80.367,116.0,0.0,84,91,78
0.00011024194463961943,Kurunegala Proper,2023-12-08,2023-12-09,CEM00043441,7.467,80.367,116.0,2.54,80,89,75
0.00011018710877650483,Kurunegala Proper,2023-10-26,2023-10-27,CEM00043441,7.467,80.367,116.0,0.02,82,92,73
0.0001295834376846112,Kurunegala Proper,2020-09-29,2020-09-30,CEM00043441,7.467,80.367,116.0,1.64,78,85,74
0.00011008527201853519,Kurunegala Proper,2023-05-10,2023-05-11,CEM00043441,7.467,80.367,116.0,0.27,83,90,77
0.00011008527201853519,Kurunegala Proper,2023-05-11,2023-05-12,CEM00043441,7.467,80.367,116.0,0.0,81,90,76
0.00011003069755820144,Kurunegala Proper,2022-06-09,2022-06-10,CEM00043441,7.467,80.367,116.0,0.08,81,87,77
0.00011001512321611179,Kurunegala Proper,2022-03-23,2022-03-24,CEM00043441,7.467,80.367,116.0,0.0,83,74,77
0.00010999835996254973,Kurunegala Proper,2019-05-15,2019-05-16,CEM00043441,7.467,80.367,116.0,0.0,87,75,79
0.0001297080667525631,Kurunegala Proper,2019-02-11,2019-02-12,CEM00043441,7.467,80.367,116.0,0.0,82,92,72
0.00010990636644260205,Kurunegala Proper,2020-09-10,2020-09-11,CEM00043441,7.467,80.367,116.0,0.37,80,86,74
0.00012979173276491418,Kurunegala Proper,2021-01-23,2021-01-24,CEM00043441,7.467,80.367,116.0,0.0,80,89,48
0.00010983906764532627,Kurunegala Proper,2021-10-09,2021-10-10,CEM00043441,7.467,80.367,116.0,0.0,81,89,76
0.00010979922991659749,Kurunegala Proper,2020-09-04,2020-09-05,CEM00043441,7.467,80.367,116.0,0.0,83,91,76
0.00010976792279233492,Kurunegala Proper,2020-06-17,2020-06-18,CEM00043441,7.467,80.367,116.0,0.0,83,89,78
0.00012997805304664877,Kurunegala Proper,2023-11-06,2023-11-07,CEM00043441,7.467,80.367,116.0,0.55,80,91,73
0.00012998629009710455,Kurunegala Proper,2020-09-25,2020-09-26,CEM00043441,7.467,80.367,116.0,0.06,79,84,76
0.0001095716652343981,Kurunegala Proper,2019-07-06,2019-07-07,CEM00043441,7.467,80.367,116.0,0.0,88,91,77
0.00013015419113522302,Kurunegala Proper,2019-04-21,2019-04-22,CEM00043441,7.467,80.367,116.0,0.11,87,94,74
0.0001094849459652263,Kurunegala Proper,2023-04-29,2023-04-30,CEM00043441,7.467,80.367,116.0,0.54,78,90,77
0.00013020919709119964,Kurunegala Proper,2020-03-31,2020-04-01,CEM00043441,7.467,80.367,116.0,0.34,85,97,74
